"Story","Title","Result","Date","Stability","Duration (s)"
"Login","As user i able to be succesfully login","SUCCESS","2022-07-20T21:00:59.938+07:00[Asia/Bangkok]","0.0","1.39"
"Register","As user i able to be succesfully register","SUCCESS","2022-07-20T21:01:01.383+07:00[Asia/Bangkok]","0.0","0.24"
